name;id;outer;M;K;N;type;input_tensor_1_size;input_tensor_2_size;weight_tensor_size;output_tensor_size;input_tensor_1_id;input_tensor_2_id
Q;1;96;128;12288;2048;1;4831838208;-1;301989888;50331648;-1;-1
K;2;96;128;12288;2048;1;4831838208;-1;301989888;50331648;-1;-1
V;3;96;128;12288;2048;1;4831838208;-1;301989888;50331648;-1;-1
MHA_GEMM_1;4;96;2048;128;2048;1;50331648;50331648;-1;805306368;1;2
SOFTMAX;5;96;2048;1;2048;2;805306368;-1;-1;805306368;4;-1
MHA_GEMM_2;6;96;128;2048;2048;1;50331648;805306368;-1;50331648;3;5
PROJ_GEMM;7;1;12288;12288;2048;1;50331648;-1;301989888;50331648;6;-1
FFN0;8;1;49152;12288;2048;1;50331648;-1;1207959552;201326592;7;-1
FFN1;9;1;12288;49152;2048;1;201326592;-1;1207959552;50331648;8;-1
